CHEMICAL,DISEASE,relación,oración,interpretacion
benzylpenicillin,erythemas,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin.","benzylpenicillin has been associated with the adverse effect erythemas, as indicated in the sentence: ""RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."". This suggests a potential risk of erythemas when using benzylpenicillin."
amoxicillin,MDEs,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin.","amoxicillin has been associated with the adverse effect MDEs, as indicated in the sentence: ""RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."". This suggests a potential risk of MDEs when using amoxicillin."
amoxicillin,erythemas,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin.","amoxicillin has been associated with the adverse effect erythemas, as indicated in the sentence: ""RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."". This suggests a potential risk of erythemas when using amoxicillin."
penicillins,MDEs,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin.","penicillins has been associated with the adverse effect MDEs, as indicated in the sentence: ""RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."". This suggests a potential risk of MDEs when using penicillins."
penicillins,erythemas,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin.","penicillins has been associated with the adverse effect erythemas, as indicated in the sentence: ""RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."". This suggests a potential risk of erythemas when using penicillins."
amoxicillin,MDEs,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin.","amoxicillin has been associated with the adverse effect MDEs, as indicated in the sentence: ""RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."". This suggests a potential risk of MDEs when using amoxicillin."
amoxicillin,erythemas,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin.","amoxicillin has been associated with the adverse effect erythemas, as indicated in the sentence: ""RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."". This suggests a potential risk of erythemas when using amoxicillin."
SMX-TMP,rash,efecto_adverso,"RESULTS: Our review, which included 43 studies, found SMX-TMP had a nearly 3-fold higher risk of rash compared to other antibiotics (pooled risk ratio 2.56, 95% confidence interval [1.69, 3.89], I(2) = 0%, n = 4458 participants, 24 randomized control trials).","SMX-TMP has been associated with the adverse effect rash, as indicated in the sentence: ""RESULTS: Our review, which included 43 studies, found SMX-TMP had a nearly 3-fold higher risk of rash compared to other antibiotics (pooled risk ratio 2.56, 95% confidence interval [1.69, 3.89], I(2) = 0%, n = 4458 participants, 24 randomized control trials)."". This suggests a potential risk of rash when using SMX-TMP."
azithromycin,Stevens-Johnson syndrome,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.","The text suggests that azithromycin may cause or trigger Stevens-Johnson syndrome, highlighting a possible causative association: ""Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.""."
azithromycin,necrolysis,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.","The text suggests that azithromycin may cause or trigger necrolysis, highlighting a possible causative association: ""Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.""."
azithromycin,eosinophilia,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.","The text suggests that azithromycin may cause or trigger eosinophilia, highlighting a possible causative association: ""Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.""."
SMX-TMP,Stevens-Johnson syndrome,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.","The text suggests that SMX-TMP may cause or trigger Stevens-Johnson syndrome, highlighting a possible causative association: ""Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.""."
SMX-TMP,necrolysis,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.","The text suggests that SMX-TMP may cause or trigger necrolysis, highlighting a possible causative association: ""Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.""."
SMX-TMP,eosinophilia,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.","The text suggests that SMX-TMP may cause or trigger eosinophilia, highlighting a possible causative association: ""Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms.""."
SMX-TMP,ADEs,causa,"CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin.","The text suggests that SMX-TMP may cause or trigger ADEs, highlighting a possible causative association: ""CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin.""."
amoxicillin/clavulanate,ADEs,causa,"CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin.","The text suggests that amoxicillin/clavulanate may cause or trigger ADEs, highlighting a possible causative association: ""CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin.""."
azithromycin,ADEs,causa,"CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin.","The text suggests that azithromycin may cause or trigger ADEs, highlighting a possible causative association: ""CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin.""."
nitrofurantoin,ADEs,causa,"CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin.","The text suggests that nitrofurantoin may cause or trigger ADEs, highlighting a possible causative association: ""CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin.""."
TDM,TB,causa,TDM has been recommended for PLWH on anti-tuberculosis treatment due to sub-optimal drug concentrations found in a significant proportion of those with TB.,"The text suggests that TDM may cause or trigger TB, highlighting a possible causative association: ""TDM has been recommended for PLWH on anti-tuberculosis treatment due to sub-optimal drug concentrations found in a significant proportion of those with TB.""."
anti-MSSA,methicillin-susceptible Staphylococcus aureus,comparación,"MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022).","anti-MSSA is mentioned in comparative context with methicillin-susceptible Staphylococcus aureus, possibly in terms of efficacy or safety: ""MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022).""."
anti-MSSA,methicillin-resistant Staphylococcus aureus,comparación,"MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022).","anti-MSSA is mentioned in comparative context with methicillin-resistant Staphylococcus aureus, possibly in terms of efficacy or safety: ""MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022).""."
ASP,methicillin-susceptible Staphylococcus aureus,comparación,"MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022).","ASP is mentioned in comparative context with methicillin-susceptible Staphylococcus aureus, possibly in terms of efficacy or safety: ""MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022).""."
ASP,methicillin-resistant Staphylococcus aureus,comparación,"MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022).","ASP is mentioned in comparative context with methicillin-resistant Staphylococcus aureus, possibly in terms of efficacy or safety: ""MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022).""."
nitrofurantoin,infections,tratamiento,"Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs.","nitrofurantoin appears to be used in the context of treating or preventing infections, according to: ""Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs.""."
nitrofurantoin,UTIs,tratamiento,"Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs.","nitrofurantoin appears to be used in the context of treating or preventing UTIs, according to: ""Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs.""."
fosfomycin,infections,tratamiento,"Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs.","fosfomycin appears to be used in the context of treating or preventing infections, according to: ""Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs.""."
fosfomycin,UTIs,tratamiento,"Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs.","fosfomycin appears to be used in the context of treating or preventing UTIs, according to: ""Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs.""."
quinolones,OXA-1,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that quinolones may cause or trigger OXA-1, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
quinolones,CTX-M-15,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that quinolones may cause or trigger CTX-M-15, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
fosfomycin,OXA-1,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that fosfomycin may cause or trigger OXA-1, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
fosfomycin,CTX-M-15,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that fosfomycin may cause or trigger CTX-M-15, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
aminoglycosides,OXA-1,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that aminoglycosides may cause or trigger OXA-1, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
aminoglycosides,CTX-M-15,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that aminoglycosides may cause or trigger CTX-M-15, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
sulphonamides,OXA-1,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that sulphonamides may cause or trigger OXA-1, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
sulphonamides,CTX-M-15,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that sulphonamides may cause or trigger CTX-M-15, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
trimethoprim,OXA-1,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that trimethoprim may cause or trigger OXA-1, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
trimethoprim,CTX-M-15,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that trimethoprim may cause or trigger CTX-M-15, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
phenicols,OXA-1,causa,"Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.","The text suggests that phenicols may cause or trigger OXA-1, highlighting a possible causative association: ""Illumina WGS showed the presence of bla (SCO-1) and bla (OXA-1), bla (SHV-28), bla (TEM-1), bla (CTX-M-15), as well as genes associated with resistance to quinolones, fosfomycin, aminoglycosides, sulphonamides, trimethoprim and phenicols.""."
