abstract,tokens
"BACKGROUND: Metabolic and bariatric surgery (MBS) procedures with extended biliary limb length are gaining popularity to expedite weight loss but can induce liver failure. We aimed to investigate the underlying pathophysiology for this potentially fatal complication. MATERIALS AND METHODS: We compared mouse models of vertical sleeve plication, sleeve gastrectomy, Roux-en-Y gastric bypass (RYGB), and one-anastomosis gastric bypass with three biliary limb lengths (25% = Omega1, 50% = Omega2, 75% = Omega3) by analyzing mortality, weight loss, metabolic and liver health, bacterial translocation, inflammation, and biliary and fecal microbiome. Gut decontamination with oral antibiotics (amoxicillin, vancomycin, neomycin, and metronidazole) was performed in a subset of Omega3 mice. Liver histology from mice with different biliary limb lengths was compared to samples from human patients who developed liver failure following biliopancreatic diversion or RYGB. RESULTS: RYGB and Omega1&2 significantly improved glucose intolerance and liver steatosis compared to sham surgery. However, extending the biliary limb (Omega3) resulted in 100% mortality. The Omega3 procedure induced bacterial translocation of enterococcus genus to the spleen and biliary fluid, consistent with increased serum lipopolysaccharide levels and terminal ileum, biliary limb, and hepatic inflammation. Liver histology in Omega3 mice was characterized by mediovesicular steatosis, closely resembling the histological picture observed in patients with liver failure after MBS. Oral gut decontamination significantly improved Omega3 one-week-survival from 31.3% to 80.0%, prevented bacterial overgrowth in biliary fluid and spleen, and decreased liver damage. CONCLUSION: Mortality in longer biliary limb MBS surgery is caused by bacterial overgrowth, translocation, and gut-liver axis inflammation, which were reversed by oral gut decontamination with antibiotics.","metabolic, bariatric, surgery, mbs, procedures, extended, biliary, limb, length, gaining, popularity, expedite, weight, loss, induce, liver, failure, aimed, investigate, underlying, pathophysiology, potentially, fatal, complication, materials, compared, mouse, models, vertical, sleeve, plication, sleeve, gastrectomy, rouxeny, gastric, bypass, rygb, oneanastomosis, gastric, bypass, three, biliary, limb, lengths, omega, omega, omega, analyzing, mortality, weight, loss, metabolic, liver, health, bacterial, translocation, inflammation, biliary, fecal, microbiome, gut, decontamination, oral, antibiotics, amoxicillin, vancomycin, neomycin, metronidazole, performed, subset, omega, mice, liver, histology, mice, different, biliary, limb, lengths, compared, samples, human, patients, developed, liver, failure, following, biliopancreatic, diversion, rygb, rygb, omega, significantly, improved, glucose, intolerance, liver, steatosis, compared, sham, surgery, however, extending, biliary, limb, omega, resulted, mortality, omega, procedure, induced, bacterial, translocation, enterococcus, genus, spleen, biliary, fluid, consistent, increased, serum, lipopolysaccharide, levels, terminal, ileum, biliary, limb, hepatic, inflammation, liver, histology, omega, mice, characterized, mediovesicular, steatosis, closely, resembling, histological, picture, observed, patients, liver, failure, mbs, oral, gut, decontamination, significantly, improved, omega, oneweeksurvival, prevented, bacterial, overgrowth, biliary, fluid, spleen, decreased, liver, damage, mortality, longer, biliary, limb, mbs, surgery, caused, bacterial, overgrowth, translocation, gutliver, axis, inflammation, reversed, oral, gut, decontamination, antibiotics"
"BACKGROUND: Inconsistent results have been obtained with various antibiotics for community-acquired pneumonia (CAP) in hospitalized adults. We performed a Bayesian network meta-analysis to compare and rank the effectiveness of antibiotics for adult patients with CAP. METHODS: The databases of PubMed, Embase, and the Cochrane library were systematically searched until May 2025, for randomized controlled trials (RCTs) comparing at least two antibiotics for hospitalized adults with CAP. The investigated outcomes included clinical failure, bacteriological failure, mortality, total adverse events, gastrointestinal events, and requiring discontinuation of treatment. RESULTS: Forty RCTs involving 12,838 hospitalized adults with CAP were selected for the final meta-analysis. The surface under the cumulative ranking probabilities (Surface Under the Cumulative Ranking Area, SUCRA; higher values indicate a greater likelihood of a treatment being the most effective) found that trovafloxacin (SUCRA: 87 %) and teicoplanin (SUCRA: 85 %) provided relatively better effects on clinical failure. Clarythromycin-ceftriaxone (SUCRA: 77 %) had the best effect for risk of bacteriological failure. Amoxicillin-clavulanate provided the optimal effect for reducing the risk of mortality (SUCRA: 82 %). The risk of total adverse events was lowest on using doxycycline (SUCRA: 86 %). Doxycycline (SUCRA: 89 %) and omadacycline (SUCRA: 80 %) provided relatively lower risk of gastrointestinal events. Finally, the use of ciprofloxacin was associated with the lowest risk of requiring discontinuation of treatment (SUCRA: 77 %). CONCLUSIONS: This study provided an overview of the optimal antibiotics in management of adult patients with CAP, based on treatment effectiveness and safety profiles.","inconsistent, obtained, various, antibiotics, communityacquired, pneumonia, cap, hospitalized, adults, performed, bayesian, network, metaanalysis, compare, rank, effectiveness, antibiotics, adult, patients, cap, databases, pubmed, embase, cochrane, library, systematically, searched, may, randomized, controlled, trials, rcts, comparing, least, two, antibiotics, hospitalized, adults, cap, investigated, outcomes, included, clinical, failure, bacteriological, failure, mortality, total, adverse, events, gastrointestinal, events, requiring, discontinuation, treatment, forty, rcts, involving, hospitalized, adults, cap, selected, final, metaanalysis, surface, cumulative, ranking, probabilities, surface, cumulative, ranking, area, sucra, higher, values, indicate, greater, likelihood, treatment, effective, found, trovafloxacin, sucra, teicoplanin, sucra, provided, relatively, better, effects, clinical, failure, clarythromycinceftriaxone, sucra, best, effect, risk, bacteriological, failure, amoxicillinclavulanate, provided, optimal, effect, reducing, risk, mortality, sucra, risk, total, adverse, events, lowest, using, doxycycline, sucra, doxycycline, sucra, omadacycline, sucra, provided, relatively, lower, risk, gastrointestinal, events, finally, use, ciprofloxacin, associated, lowest, risk, requiring, discontinuation, treatment, sucra, conclusions, provided, overview, optimal, antibiotics, management, adult, patients, cap, based, treatment, effectiveness, safety, profiles"
"BACKGROUND: Slum dwellers face significant infrastructure and public health challenges like poor housing and drainage, inadequate sanitation, and limited access to clean water, leading to increased disease transmission and resistance to antibiotic treatments. This study evaluated the impact of heavy metals on antibiotic resistance patterns of Escherichia coli in wastewater from slums of Bwaise II, Bwaise III, Kazo, and Makerere III in Kawempe division, Kampala. METHODS: Levels of heavy metals (lead, mercury, cadmium, chromium, and arsenic) in wastewater were determined using inductively coupled plasma mass spectroscopy. Escherichia coli were isolated from wastewater using MacConkey agar and their susceptibility to 50 microl of stock antibiotics (tetracycline, amoxicillin, ceftriaxone at 30 microg/ml, and ciprofloxacin at 5 microg/ml) determined. The potential of heavy metals to induce antibiotic resistance in Escherichia coli was determined by culturing susceptible isolates in 200 microl of Luria-Bertina broth containing stock antibiotics (10 microl), or stock antibiotics (10 microl) and stock heavy metals (10 microl). Stock heavy metals were prepared from the average concentration of heavy metals detected in wastewater. RESULTS: Detectable levels of heavy metals were reported in wastewater from Bwaise II, Kazo and Makerere III only. Lead, cadmium and arsenic, mercury and chromium, were highest in Bwaise II, Kazo, and Makerere III, respectively. The occurrence of Escherichia coli resistant to at least an antibiotic was 72.8% (169 of 232) and resistance to tetracycline, ceftriaxone, amoxicillin, and ciprofloxacin were 34.1%, 28.9%, 35.3%, and 34.5%, respectively. Study findings further revealed a positive correlation (R(2) = 0.371-0.985) between the presence of heavy metals in wastewater and antibiotic resistance patterns of Escherichia coli. Also, heavy metals; lead (77.41 microg/ml), mercury (1.44 microg/ml), and cadmium (10.21 microg/ml) significantly (p < 0.05) induced antibiotic resistance in susceptible Escherichia coli. CONCLUSION: Wastewater in Kawempe slums is polluted with heavy metals and high prevalence of antibiotic-resistant Escherichia coli. Inadequate infrastructure in slums facilitate discharge of wastewater polluted with heavy metals, which in turn play a role in increasing antibiotic resistance. There is need for proper wastewater management to contain the prevalence of antibiotic resistance.","slum, dwellers, face, significant, infrastructure, public, health, challenges, like, poor, housing, drainage, inadequate, sanitation, limited, access, clean, water, leading, increased, disease, transmission, resistance, antibiotic, treatments, evaluated, impact, heavy, metals, antibiotic, resistance, patterns, escherichia, coli, wastewater, slums, bwaise, ii, bwaise, iii, kazo, makerere, iii, kawempe, division, kampala, levels, heavy, metals, lead, mercury, cadmium, chromium, arsenic, wastewater, determined, using, inductively, coupled, plasma, mass, spectroscopy, escherichia, coli, isolated, wastewater, using, macconkey, agar, susceptibility, microl, stock, antibiotics, tetracycline, amoxicillin, ceftriaxone, microgml, ciprofloxacin, microgml, determined, potential, heavy, metals, induce, antibiotic, resistance, escherichia, coli, determined, culturing, susceptible, isolates, microl, luriabertina, broth, containing, stock, antibiotics, microl, stock, antibiotics, microl, stock, heavy, metals, microl, stock, heavy, metals, prepared, average, concentration, heavy, metals, detected, wastewater, detectable, levels, heavy, metals, reported, wastewater, bwaise, ii, kazo, makerere, iii, lead, cadmium, arsenic, mercury, chromium, highest, bwaise, ii, kazo, makerere, iii, respectively, occurrence, escherichia, coli, resistant, least, antibiotic, resistance, tetracycline, ceftriaxone, amoxicillin, ciprofloxacin, respectively, findings, revealed, positive, correlation, r, presence, heavy, metals, wastewater, antibiotic, resistance, patterns, escherichia, coli, also, heavy, metals, lead, microgml, mercury, microgml, cadmium, microgml, significantly, induced, antibiotic, resistance, susceptible, escherichia, coli, wastewater, kawempe, slums, polluted, heavy, metals, high, prevalence, antibioticresistant, escherichia, coli, inadequate, infrastructure, slums, facilitate, discharge, wastewater, polluted, heavy, metals, turn, play, role, increasing, antibiotic, resistance, need, proper, wastewater, management, contain, prevalence, antibiotic, resistance"
"Syphilitic gumma is a rare manifestation of neurosyphilis that can cause mass lesions in the central nervous system. We present an atypical case of a 53-year-old man presenting with syphilitic gummas affecting both the brain and spinal cord. The patient presented with right facial numbness, worsening back pain, gait disturbances, and lower-limb weakness. Serological tests were positive for syphilis, and cerebrospinal fluid analysis showed elevated cell count, protein concentration, and positive syphilis tests. Brain and spinal cord MRI revealed dural-based enhancing mass lesions in the right middle cerebellar peduncle and conus medullaris. The patient underwent posterior decompression and biopsy of the conus medullaris. Histopathological findings excluded malignancy and were consistent with syphilitic gumma. The patient received intravenous benzylpenicillin, followed by oral amoxicillin, resulting in partial improvement of neurological symptoms and gradual regression of the lesions on follow-up MRI. This case highlights the importance of considering syphilitic gumma in the differential diagnosis of intracranial and spinal cord lesions in patients with syphilis. Prompt antibiotic treatment and serial MRI imaging are crucial for managing this condition.","syphilitic, gumma, rare, manifestation, neurosyphilis, cause, mass, lesions, central, nervous, system, present, atypical, case, yearold, man, presenting, syphilitic, gummas, affecting, brain, spinal, cord, patient, presented, right, facial, numbness, worsening, back, pain, gait, disturbances, lowerlimb, weakness, serological, tests, positive, syphilis, cerebrospinal, fluid, analysis, showed, elevated, cell, count, protein, concentration, positive, syphilis, tests, brain, spinal, cord, mri, revealed, duralbased, enhancing, mass, lesions, right, middle, cerebellar, peduncle, conus, medullaris, patient, underwent, posterior, decompression, biopsy, conus, medullaris, histopathological, findings, excluded, malignancy, consistent, syphilitic, gumma, patient, received, intravenous, benzylpenicillin, followed, oral, amoxicillin, resulting, partial, improvement, neurological, symptoms, gradual, regression, lesions, followup, mri, case, highlights, importance, considering, syphilitic, gumma, differential, diagnosis, intracranial, spinal, cord, lesions, patients, syphilis, prompt, antibiotic, treatment, serial, mri, imaging, crucial, managing, condition"
"INTRODUCTION: Antimicrobial resistance (AMR) is a major threat in sub-Saharan Africa (SSA), but assessments of antimicrobial consumption (AMC) are limited. This study aimed to investigate regional AMC and resistance patterns in a representative area of Tanzania and to introduce a method for determining AMC in low-resource settings. DESIGN AND METHODS: We conducted a retrospective study using prescription data collected over 5 years (2013-2017) from multiple hospitals and selected primary health facilities in the Dodoma Region of Tanzania. The study employed the WHO's Anatomical Therapeutic Chemical (ATC) classification and Daily Defined Dose (DDD) methodology to quantify antimicrobial use. Outpatient prescription records that met our inclusion criteria were analysed, while incomplete records were excluded. Sensitivity testing for frequently prescribed antimicrobials was performed against representative gram-negative and gram-positive bacteria, with resistance expressed as minimum inhibitory concentrations and resistance percentages. SETTING AND PARTICIPANTS: This study was conducted across several high-volume healthcare facilities in the Dodoma Region, encompassing both hospital and primary care settings. The dataset comprises outpatient prescription records from these facilities, representing a significant proportion of the regional healthcare usage. The selected facilities were chosen based on their substantial catchment populations to maximise data volume and relevance. OUTCOME MEASURES: The primary outcome measure was the DDD per 1000 inhabitants per day (DID) for various antimicrobial classes. Secondary outcomes included the prevalence of specific drugs, such as amoxicillin and erythromycin, and their corresponding resistance profiles. Resistance data were quantitatively analysed, with particular attention given to penicillinase-sensitive penicillins and their resistance rates among gram-negative and Gram-positive bacteria. RESULTS: Analysis revealed that single penicillins, particularly amoxicillin, dominated prescriptions, accounting for 25% to 60% of hospitals and 13% to 29% of primary health centres. Erythromycin was prescribed in 9.4% to 25.1% of cases across facilities. The overall AMC in the region ranged from 36.7 to 50.2 DID during the study period, with consumption patterns showing an initial increase of 4.3% from 2013 to 2014, a subsequent 29.0% decrease from 2014 to 2015, followed by a 34.1% increase from 2015 to 2016 and a further 37.9% increase from 2016 to 2017. Resistance testing demonstrated that penicillinase-sensitive penicillins exhibited an average resistance rate of 87.3%, with gram-negative and gram-positive bacteria showing resistance levels of 90.1% (+/-8%) and 83.6% (+/-8%), respectively, indicating a statistically significant association (p<0.05) between high consumption and elevated resistance. CONCLUSION: Our findings reveal that AMC in the Dodoma Region is high and is linked to significant resistance against commonly used agents. This study presents a robust method for monitoring AMC and resistance in a resource-efficient manner, offering potential applicability in similar settings across SSA. The data, though representing only a fraction of total antimicrobial use, underscore the urgent need for targeted antimicrobial stewardship interventions, particularly at the primary healthcare level. Future research should further investigate demographic influences and evaluate intervention strategies to mitigate AMR effectively.","antimicrobial, resistance, amr, major, threat, subsaharan, africa, ssa, assessments, antimicrobial, consumption, amc, limited, aimed, investigate, regional, amc, resistance, patterns, representative, area, tanzania, introduce, method, determining, amc, lowresource, settings, design, conducted, retrospective, using, prescription, data, collected, years, multiple, hospitals, selected, primary, health, facilities, dodoma, region, tanzania, employed, whos, anatomical, therapeutic, chemical, atc, classification, daily, defined, dose, ddd, methodology, quantify, antimicrobial, use, outpatient, prescription, records, met, inclusion, criteria, analysed, incomplete, records, excluded, sensitivity, testing, frequently, prescribed, antimicrobials, performed, representative, gramnegative, grampositive, bacteria, resistance, expressed, minimum, inhibitory, concentrations, resistance, percentages, setting, participants, conducted, across, several, highvolume, healthcare, facilities, dodoma, region, encompassing, hospital, primary, care, settings, dataset, comprises, outpatient, prescription, records, facilities, representing, significant, proportion, regional, healthcare, usage, selected, facilities, chosen, based, substantial, catchment, populations, maximise, data, volume, relevance, outcome, measures, primary, outcome, measure, ddd, per, inhabitants, per, day, various, antimicrobial, classes, secondary, outcomes, included, prevalence, specific, drugs, amoxicillin, erythromycin, corresponding, resistance, profiles, resistance, data, quantitatively, analysed, particular, attention, given, penicillinasesensitive, penicillins, resistance, rates, among, gramnegative, grampositive, bacteria, analysis, revealed, single, penicillins, particularly, amoxicillin, dominated, prescriptions, accounting, hospitals, primary, health, centres, erythromycin, prescribed, cases, across, facilities, overall, amc, region, ranged, period, consumption, patterns, showing, initial, increase, subsequent, decrease, followed, increase, increase, resistance, testing, demonstrated, penicillinasesensitive, penicillins, exhibited, average, resistance, rate, gramnegative, grampositive, bacteria, showing, resistance, levels, respectively, indicating, statistically, significant, association, high, consumption, elevated, resistance, findings, reveal, amc, dodoma, region, high, linked, significant, resistance, commonly, used, agents, presents, robust, method, monitoring, amc, resistance, resourceefficient, manner, offering, potential, applicability, similar, settings, across, ssa, data, though, representing, fraction, total, antimicrobial, use, underscore, urgent, need, targeted, antimicrobial, stewardship, interventions, particularly, primary, healthcare, level, future, research, investigate, demographic, influences, evaluate, intervention, strategies, mitigate, amr, effectively"
"Information on antimicrobial resistance patterns of urinary pathogens of cats can aid veterinarians in their antimicrobial prescription choices. We assessed the prevalence and antimicrobial resistance of bacteria isolated from urine samples of cats with urinary tract infections (UTIs) submitted to a veterinary diagnostic laboratory in Illinois between 2020 and 2022. The laboratory received 2026 urine samples during the study period, of which 606 (29.97%) showed bacterial growth, and from these samples, 883 bacterial strains were recovered. The most common gram-positive bacterial species included Enterococcus faecalis (n = 123), Staphylococcus felis (n = 50), and Staphylococcus pseudintermedius (n = 28), while the most common gram-negative bacteria included Escherichia coli (n = 322) and Proteus mirabilis (n = 18). Among the gram-positive isolates, none of the Enterococcus faecalis isolates showed resistance to amoxicillin-clavulanic acid and ampicillin. In addition, Staphylococcus felis isolates showed low resistance to ampicillin (7.32%), enrofloxacin (4.88%), and amoxicillin-clavulanic acid (4.88%). Among gram-negative bacteria, E. coli isolates showed a high resistance to ampicillin (30.64%), and a moderate resistance to amoxicillin-clavulanic acid (11.78%) and cefovecin (11.11%), antibiotics considered as first-line choices to treat UTIs in cats. Compared to 2020, the rate of E. coli isolates resistant to amoxicillin-clavulanic acid was lower in 2022 (IRR: 0.42; 95%; CI: 0.18-0.99). This study provides antibiograms of common feline urinary pathogens in Illinois that could aid veterinarians in their empirical UTI therapy choices. Requesting an antimicrobial susceptibility test when starting an empirical treatment could be beneficial to guide altered therapy to secure treatment success if the causative pathogens are resistant to the empirical antimicrobial choices.","information, antimicrobial, resistance, patterns, urinary, pathogens, cats, aid, veterinarians, antimicrobial, prescription, choices, assessed, prevalence, antimicrobial, resistance, bacteria, isolated, urine, samples, cats, urinary, tract, infections, utis, submitted, veterinary, diagnostic, laboratory, illinois, laboratory, received, urine, samples, period, showed, bacterial, growth, samples, bacterial, strains, recovered, common, grampositive, bacterial, species, included, enterococcus, faecalis, n, staphylococcus, felis, n, staphylococcus, pseudintermedius, n, common, gramnegative, bacteria, included, escherichia, coli, n, proteus, mirabilis, n, among, grampositive, isolates, none, enterococcus, faecalis, isolates, showed, resistance, amoxicillinclavulanic, acid, ampicillin, addition, staphylococcus, felis, isolates, showed, low, resistance, ampicillin, enrofloxacin, amoxicillinclavulanic, acid, among, gramnegative, bacteria, e, coli, isolates, showed, high, resistance, ampicillin, moderate, resistance, amoxicillinclavulanic, acid, cefovecin, antibiotics, considered, firstline, choices, treat, utis, cats, compared, rate, e, coli, isolates, resistant, amoxicillinclavulanic, acid, lower, irr, ci, provides, antibiograms, common, feline, urinary, pathogens, illinois, could, aid, veterinarians, empirical, uti, therapy, choices, requesting, antimicrobial, susceptibility, test, starting, empirical, treatment, could, beneficial, guide, altered, therapy, secure, treatment, success, causative, pathogens, resistant, empirical, antimicrobial, choices"
"BACKGROUND: Limited research has examined the direct effectiveness of Helicobacter pylori eradication (HPE) on the remnant stomach neoplasms after curative gastrectomy. This study aims to assess whether HPE could prevent the development of gastric neoplasms in the remnant stomach after curative gastrectomy through a double-blinded, randomized controlled trial. METHODS: After curative gastrectomy, patients with HP infection and pathologically proven stage 1 tumors will be enrolled and randomly assigned to eradication (n = 492) and placebo (n = 492) groups. Patients in the eradication arm will be given the eradication regimen, which will comprise 40 mg of esomeprazole, 1 g of amoxicillin, and 500 mg of clarithromycin twice a day for 14 days. The primary endpoint is the development of gastric neoplasms, including adenoma or adenocarcinoma. The secondary endpoints are the 10-year overall survival, improvement rates of gastric glandular atrophy and/or intestinal metaplasia, and incidence of new-onset hyperplastic polyps among the groups. SIGNIFICANCE: This research will be the first randomized controlled clinical study in which a thorough long-term follow-up will be needed to evaluate the effectiveness of HPE for remnant stomach neoplasms after curative gastrectomy. Its results will serve as a basis for developing future strategies in the management of patients with HP infection who undergo curative gastrectomy. TRIAL REGISTRATION: https://cris.nih.go.kr/ KCT0008855. October 10, 2023.","limited, research, examined, direct, effectiveness, helicobacter, pylori, eradication, hpe, remnant, stomach, neoplasms, curative, gastrectomy, aims, assess, whether, hpe, could, prevent, development, gastric, neoplasms, remnant, stomach, curative, gastrectomy, doubleblinded, randomized, controlled, trial, curative, gastrectomy, patients, hp, infection, pathologically, proven, stage, tumors, enrolled, randomly, assigned, eradication, n, placebo, n, groups, patients, eradication, arm, given, eradication, regimen, comprise, mg, esomeprazole, g, amoxicillin, mg, clarithromycin, twice, day, days, primary, endpoint, development, gastric, neoplasms, including, adenoma, adenocarcinoma, secondary, endpoints, year, overall, survival, improvement, rates, gastric, glandular, atrophy, andor, intestinal, metaplasia, incidence, newonset, hyperplastic, polyps, among, groups, significance, research, first, randomized, controlled, clinical, thorough, longterm, followup, needed, evaluate, effectiveness, hpe, remnant, stomach, neoplasms, curative, gastrectomy, serve, basis, developing, future, strategies, management, patients, hp, infection, undergo, curative, gastrectomy, trial, registration, httpscrisnihgokr, kct, october"
"Pulpitis is a painful inflammatory condition of the dental pulp, commonly triggered by bacterial infection, trauma, or repeated dental procedures. Patients often experience heightened sensitivity to temperature changes, spontaneous pain, and, in severe cases, necrosis of the pulp tissue, leading to tooth loss if left untreated. Traditional treatment primarily involves root canal therapy, which removes infected pulp and seals the canal with gutta-percha; however, this approach lacks antimicrobial properties and does not support tissue regeneration. To address these limitations, this study investigates an injectable hydrogel system composed of hyaluronic acid (HA) and carboxymethyl chitosan (CMCs), chemically crosslinked with 1,4-butanediol diglycidyl ether (BDDE). The hydrogel demonstrated excellent injectability, self-healing ability, and mechanical stability. In vitro and in vivo assessments confirmed its biocompatibility, biodegradability, and capability for controlled release of therapeutic agents. Notably, the amoxicillin-loaded hydrogel (HACM/AX) showed significant antibacterial properties; while the erythropoietin-loaded hydrogel (HACM/EPO) significantly enhanced endothelial cell proliferation and migration, facilitating angiogenesis for tissue regeneration. These findings highlight the potential of the HACM hydrogel as a dual-function biomaterial with antimicrobial and pro-angiogenic properties, offering a promising alternative for pulpitis treatment and dental tissue engineering.","pulpitis, painful, inflammatory, condition, dental, pulp, commonly, triggered, bacterial, infection, trauma, repeated, dental, procedures, patients, often, experience, heightened, sensitivity, temperature, changes, spontaneous, pain, severe, cases, necrosis, pulp, tissue, leading, tooth, loss, left, untreated, traditional, treatment, primarily, involves, root, canal, therapy, removes, infected, pulp, seals, canal, guttapercha, however, approach, lacks, antimicrobial, properties, support, tissue, regeneration, address, limitations, investigates, injectable, hydrogel, system, composed, hyaluronic, acid, ha, carboxymethyl, chitosan, cmcs, chemically, crosslinked, butanediol, diglycidyl, ether, bdde, hydrogel, demonstrated, excellent, injectability, selfhealing, ability, mechanical, stability, vitro, vivo, assessments, confirmed, biocompatibility, biodegradability, capability, controlled, release, therapeutic, agents, notably, amoxicillinloaded, hydrogel, hacmax, showed, significant, antibacterial, properties, erythropoietinloaded, hydrogel, hacmepo, significantly, enhanced, endothelial, cell, proliferation, migration, facilitating, angiogenesis, tissue, regeneration, findings, highlight, potential, hacm, hydrogel, dualfunction, biomaterial, antimicrobial, proangiogenic, properties, offering, promising, alternative, pulpitis, treatment, dental, tissue, engineering"
"This study is aimed at ascertaining the relationship between environmental risks of analgesics (acetaminophen, diclofenac, and ibuprofen), methylxanthine (caffeine), and antibiotics (amoxicillin, ciprofloxacin, and metronidazole) and physicochemical parameters (temperature, pH, electrical conductivity, salinity, total dissolved salts, and turbidity) of three replicates of untreated effluents from three hospitals (Kwame Nkrumah University of Science and Technology [KNUST] Hospital, Kumasi South Hospital [KSH], and Komfo Anokye Teaching Hospital [KATH]) within Kumasi, Ghana. The samples were filtered, extracted by solid phase, and analyzed by PerkinElmer Flexar HPLC. Samples showed ambient temperature, around neutral pH, and high electrical conductivity, salinity, total dissolved salts, and turbidity. Acetaminophen and diclofenac were detected at concentrations of 40.00-44.00 and 77.00-553.00 mug/L, respectively, in KNUST samples. Acetaminophen (266.00-510.00 mug/L), caffeine (60.00-85.00 mug/L), diclofenac (55.00-380.00 mug/L), ciprofloxacin (44.00-45.00 mug/L), and metronidazole (18.00-42.00 mug/L) were detected in KSH samples. In KATH samples, acetaminophen and ciprofloxacin were found at concentrations of 29.00-114.00 and 74.00-232.00 mug/L, respectively. Ibuprofen and amoxicillin in samples were below detection levels. A Pearson correlation showed an inverse relationship between temperature, pH, and acetaminophen; a direct relationship between turbidity and ciprofloxacin; and direct relationships between electrical conductivity, salinity, total dissolved salts, and acetaminophen. The last two parameters showed direct relationships with metronidazole but an inverse relationship with ciprofloxacin. The risk quotient for the detected pharmaceuticals showed low toxicity exposure (< 0.10) to algae, daphnids, and fish, except ciprofloxacin, which showed high toxicity exposure (> 1.00) to algae. The physicochemical properties of hospital effluents affect the concentrations and environmental risks of their constituents' analgesics and antibiotics.","aimed, ascertaining, relationship, environmental, risks, analgesics, acetaminophen, diclofenac, ibuprofen, methylxanthine, caffeine, antibiotics, amoxicillin, ciprofloxacin, metronidazole, physicochemical, parameters, temperature, ph, electrical, conductivity, salinity, total, dissolved, salts, turbidity, three, replicates, untreated, effluents, three, hospitals, kwame, nkrumah, university, science, technology, knust, hospital, kumasi, south, hospital, ksh, komfo, anokye, teaching, hospital, kath, within, kumasi, ghana, samples, filtered, extracted, solid, phase, analyzed, perkinelmer, flexar, hplc, samples, showed, ambient, temperature, around, neutral, ph, high, electrical, conductivity, salinity, total, dissolved, salts, turbidity, acetaminophen, diclofenac, detected, concentrations, mugl, respectively, knust, samples, acetaminophen, mugl, caffeine, mugl, diclofenac, mugl, ciprofloxacin, mugl, metronidazole, mugl, detected, ksh, samples, kath, samples, acetaminophen, ciprofloxacin, found, concentrations, mugl, respectively, ibuprofen, amoxicillin, samples, detection, levels, pearson, correlation, showed, inverse, relationship, temperature, ph, acetaminophen, direct, relationship, turbidity, ciprofloxacin, direct, relationships, electrical, conductivity, salinity, total, dissolved, salts, acetaminophen, last, two, parameters, showed, direct, relationships, metronidazole, inverse, relationship, ciprofloxacin, risk, quotient, detected, pharmaceuticals, showed, low, toxicity, exposure, algae, daphnids, fish, except, ciprofloxacin, showed, high, toxicity, exposure, algae, physicochemical, properties, hospital, effluents, affect, concentrations, environmental, risks, constituents, analgesics, antibiotics"
"BACKGROUND: Antimicrobial resistance in uropathogens is increasing globally, particularly in resource-limited settings such as Nepal, limiting treatment options. OBJECTIVES: This study aimed to evaluate the antimicrobial resistance patterns of uropathogens isolated from patients with urinary tract infections (UTIs) in a tertiary care hospital in central Nepal. DESIGN: This study utilized a retrospective study design. METHODS: We retrospectively observed medical records from August 2023 to February 2024 at Manmohan Memorial Teaching Hospital in Nepal, focusing on patients with significant bacterial growth in urine samples and antibiotic sensitivity analysis for resistance trends. RESULTS: Escherichia coli (E. coli) (64.7%) and Klebsiella pneumoniae (K. pneumoniae) (15.0%) were the most common uropathogens. Both showed the highest resistance to amoxicillin (>95%), while E. coli demonstrated the lowest resistance to gentamicin (7.4%) and nitrofurantoin (12.2%). Klebsiella pneumoniae also showed low resistance to gentamicin (12.0%) but higher resistance to nitrofurantoin (64.0%). CONCLUSION: Empirical therapy, including nitrofurantoin and aminoglycosides, is a viable option for combating antimicrobial resistance in Nepal, necessitating region-specific surveillance and multicentre studies.","antimicrobial, resistance, uropathogens, increasing, globally, particularly, resourcelimited, settings, nepal, limiting, treatment, options, objectives, aimed, evaluate, antimicrobial, resistance, patterns, uropathogens, isolated, patients, urinary, tract, infections, utis, tertiary, care, hospital, central, nepal, design, utilized, retrospective, design, retrospectively, observed, medical, records, august, february, manmohan, memorial, teaching, hospital, nepal, focusing, patients, significant, bacterial, growth, urine, samples, antibiotic, sensitivity, analysis, resistance, trends, escherichia, coli, e, coli, klebsiella, pneumoniae, k, pneumoniae, common, uropathogens, showed, highest, resistance, amoxicillin, e, coli, demonstrated, lowest, resistance, gentamicin, nitrofurantoin, klebsiella, pneumoniae, also, showed, low, resistance, gentamicin, higher, resistance, nitrofurantoin, empirical, therapy, including, nitrofurantoin, aminoglycosides, viable, option, combating, antimicrobial, resistance, nepal, necessitating, regionspecific, surveillance, multicentre, studies"
