PMID,year,abstract,entidades
40431206,2025,"Urinary actinomycosis is a rare condition, often mimicking a urinary tract tumor. Due to its low prevalence, it can be challenging to diagnose and may be mistaken for malignancies. A 33-year-old female patient with a history of type 2 Diabetes Mellitus and recurrent urinary tract infections presented to the emergency room with right renal fossa pain radiating to the right hypochondrium, fever with chills, nausea, and vomiting. Physical examination revealed a positive Giordano sign and tenderness at the ipsilateral middle and upper ureteral points. A contrast-enhanced CT scan showed a mass infiltrating the distal third of the right ureter, causing retrograde dilatation and hydronephrosis. Additionally, a liver injury with both liquid and solid components was observed. Therefore, given the suspicion of a urothelial tumor, a diagnostic cystoscopy and ureteroscopy were performed. Using interventional radiology, an abscessed liver lesion was drained, yielding purulent fluid. The histopathological examination revealed no evidence of malignancy. However, due to the strong suspicion of upper urinary tract urothelial carcinoma, a right radical nephroureterectomy with bladder cuff excision and retroperitoneal lymphadenectomy was performed. Histopathological examination ultimately confirmed urinary actinomycosis. Consequently, antibiotic therapy with oral amoxicillin 2 g every 12 h was initiated, leading to a good clinical response. Despite its low incidence, urinary actinomycosis should be considered as a differential diagnosis in cases suspected of urothelial tumors in the upper urinary tract. Increased awareness of this rare condition may help prevent unnecessary surgical interventions.","[('Urinary actinomycosis', 'DISEASE'), ('urinary tract tumor', 'DISEASE'), ('Diabetes Mellitus', 'DISEASE'), ('infections', 'DISEASE'), ('pain', 'DISEASE'), ('fever', 'DISEASE'), ('chills', 'DISEASE'), ('nausea', 'DISEASE'), ('vomiting', 'DISEASE'), ('tenderness', 'DISEASE'), ('hydronephrosis', 'DISEASE'), ('liver injury', 'DISEASE'), ('urothelial tumor', 'DISEASE'), ('abscessed liver lesion', 'DISEASE'), ('malignancy', 'DISEASE'), ('carcinoma', 'DISEASE'), ('urinary actinomycosis', 'DISEASE'), ('urinary actinomycosis', 'DISEASE'), ('urothelial tumors', 'DISEASE')]"
40431190,2025,"Escherichia coli (E. coli) represents a significant etiological agent of colibacillosis in poultry, resulting in considerable economic losses for the global poultry sector. The present study aimed to determine molecular characterization, antibiotic resistance, and biofilm formation of E. coli strains isolated from diseased broilers from four provinces of China. A total of 200 tissue samples were collected from the intestine, liver, crop, heart, and spleen and processed for microbiological examination. Molecular detection of E. coli strains, virulence genes, and serotypes was performed using polymerase chain reaction (PCR). Antibiotic susceptibility testing and biofilm formation were assessed using disk diffusion and 96-well microtiter plate assays. The study retrieved 68% (136/200) of E. coli strains from collected samples. Most of the E. coli strains were resistant to enrofloxacin (56%), followed by cefepime (54%), amoxicillin/clavulanate (52%), streptomycin (50%), ampicillin (48%), clindamycin (47%), kanamycin (41%), polymyxin B (37%), tetracycline (35%), sulfamethoxazole/trimethoprim (33%), ceftazidime (31%), meropenem (4.7%), and florfenicol (2.9%). Similarly, the E. coli strains tested positive for at least one virulence gene and specific serotypes. Among these, O145 was the most prevalent serotype, identified in 22 isolates (16.2%), followed by O8 (12.5%), O102 (11.8%), and O9 (11.0%). The tsh gene (10.2%) was the most prevalent virulence gene. This study found that 47.1% of E. coli strains were biofilm-producing, with 62.5% exhibiting weak biofilm production, 29.7% mild biofilm production, and 7.8% strong biofilm production. Similarly, 24.2% of the E. coli strains were avian pathogenic E. coli strains due to the presence of five or more virulence genes, specifically tsh, ompA, fimC, iss, fyuA, and astA, in a single strain by multiplex PCR. The present study recommends continuous surveillance and effective control measures to reduce the burden of avian pathogenic E. coli-related infections in poultry.","[('colibacillosis', 'DISEASE'), ('enrofloxacin', 'CHEMICAL'), ('cefepime', 'CHEMICAL'), ('amoxicillin/clavulanate', 'CHEMICAL'), ('streptomycin', 'CHEMICAL'), ('ampicillin', 'CHEMICAL'), ('clindamycin', 'CHEMICAL'), ('kanamycin', 'CHEMICAL'), ('polymyxin B', 'CHEMICAL'), ('tetracycline', 'CHEMICAL'), ('sulfamethoxazole/trimethoprim', 'CHEMICAL'), ('ceftazidime', 'CHEMICAL'), ('meropenem', 'CHEMICAL'), ('florfenicol', 'CHEMICAL'), ('O102', 'DISEASE'), ('coli-related infections', 'DISEASE')]"
40430726,2025,"Bacteriological examination of uterine secretions provides essential information for the prevalence of bovine uterine pathogens and their influence on fertility. The objective of the present study was to determine the uterine pathogens in cases of clinical endometritis in two Holstein-Friesian dairy farms between 21 and 27 days after calving and the minimum inhibitory concentration (MIC) of 14 antimicrobials for Trueperella pyogenes (T. pyogenes). Overall, the prevalence of T. pyogenes (Farms A and B) was 46.3% and 22% (p < 0.01), respectively. In contrast, Farm B had significantly more cases (p < 0.001) of Escherichia coli, but the distribution of uterine pathogens was similar. Regarding the prevalence of any bacteria, Farm B also had significantly more bacteria (p < 0.001) than Farm A. T. pyogenes isolates were highly susceptible to amoxicillin, amoxicillin/clavulanic acid, tylosin, and cephalosporins, such as ceftiofur, cefquinome, and cephalexin with MIC(90) of </=2 mug/mL. At the same time, MIC(90) of tulathromycin, lincomycin, and florfenicol were between 4 and 8 mug/mL and of doxycycline, enrofloxacin, oxytetracycline, and gentamicin, were between 16 and 32 mug/mL, respectively. Meanwhile, sulfamethoxazole/trimethoprim showed the highest MIC(90) (>32 mug/mL). In summary, T. pyogenes with high MIC(90) against oxytetracycline, gentamicin, and sulfamethoxazole/trimethoprim were found, which calls attention to the prudent use of antibiotics.","[('endometritis', 'DISEASE'), ('Trueperella pyogenes', 'DISEASE'), ('amoxicillin', 'CHEMICAL'), ('amoxicillin/clavulanic acid', 'CHEMICAL'), ('tylosin', 'CHEMICAL'), ('cephalosporins', 'CHEMICAL'), ('ceftiofur', 'CHEMICAL'), ('cefquinome', 'CHEMICAL'), ('cephalexin', 'CHEMICAL'), ('tulathromycin', 'CHEMICAL'), ('lincomycin', 'CHEMICAL'), ('florfenicol', 'CHEMICAL'), ('doxycycline', 'CHEMICAL'), ('enrofloxacin', 'CHEMICAL'), ('oxytetracycline', 'CHEMICAL'), ('gentamicin', 'CHEMICAL'), ('sulfamethoxazole/trimethoprim', 'CHEMICAL'), ('oxytetracycline', 'CHEMICAL'), ('gentamicin', 'CHEMICAL'), ('sulfamethoxazole/trimethoprim', 'CHEMICAL')]"
40430323,2025,"The presence of substandard and falsified (SF) medicines poses a significant challenge in resource-limited countries. Low-quality antibiotics are commonly reported in low-income countries. The present study aimed to develop and validate a liquid chromatography method with ultraviolet detection (LC-UV) for the identity screening and assay of 13 different injectable antibiotics, i.e., cefepime, amoxicillin, cefazolin, ampicillin, chloramphenicol, ceftazidime, ceftriaxone, cefotaxime, vancomycin, flucloxacillin, cloxacillin, benzylpenicillin, and meropenem in pharmaceutical formulations. Separation was performed using an XBridge C18 column and gradient elution. Mixtures of acetonitrile and 20 mM phosphate buffer (pH 8.0) were used as the mobile phases. The screening method was validated in terms of specificity and robustness, while linearity, precision, accuracy, and sensitivity were checked for the quantification method. The determination coefficients (R(2)) following linear regression were all greater than 0.999. The method showed good precision, with relative standard deviation values below 1%. The percentage recovery values were close to 100%. The method was applied to analyze 17 injectable antibiotics collected from the Ethiopian market. All commercial samples analyzed contained the correct API and met USP content specifications.","[('cefepime', 'CHEMICAL'), ('amoxicillin', 'CHEMICAL'), ('cefazolin', 'CHEMICAL'), ('ampicillin', 'CHEMICAL'), ('chloramphenicol', 'CHEMICAL'), ('ceftazidime', 'CHEMICAL'), ('ceftriaxone', 'CHEMICAL'), ('cefotaxime', 'CHEMICAL'), ('vancomycin', 'CHEMICAL'), ('flucloxacillin', 'CHEMICAL'), ('cloxacillin', 'CHEMICAL'), ('benzylpenicillin', 'CHEMICAL'), ('phosphate', 'CHEMICAL')]"
40428897,2025,"Background and Objectives: The transoral endoscopic thyroidectomy-vestibular approach (TOETVA) and parathyroidectomy-vestibular approach (TOEPVA) are scar-free alternatives to conventional surgery but are classified as clean-contaminated due to the oral incision, raising concerns about surgical site infections (SSIs). This study evaluates whether perioperative antibiotic prophylaxis (pABX) alone is sufficient compared to extended antibiotic prophylaxis (eABX) in preventing SSIs in TOET/PVA, particularly considering the surgical learning curve. Materials and Methods: A retrospective study analyzed 162 patients undergoing TOET/PVA at a single center from January 2018 to June 2024. Patients were divided into two groups: 82 received eABX (intravenous cefazolin preoperatively plus 7 days of oral amoxicillin/clavulanate), and 80 received pABX alone (intravenous cefazolin). The inclusion criteria included complete postoperative hemogram and C-reactive protein (CRP) records; exclusions comprised other surgical approaches or missing data. Outcomes included postoperative white blood cell (WBC) count, CRP levels, and complications (seroma, cellulitis, and flap perforation), defined using Centers for Disease Control and Prevention (CDC) guidelines. The statistical analysis comprised t-tests, chi-square tests, and logistic regression, adjusting for confounders like age and sex. Results: The postoperative WBC and CRP levels were significantly higher in the pABX group (p = 0.001), but all values remained within the laboratory normal limits. Complications were observed in 14 patients: seroma in 11, cellulitis in 2, and flap perforation in 1. Complications occurred more frequently in the eABX group but without statistical significance (p = 0.103). The duration of surgery was longer in the eABX group (117.93 +/- 52.35 vs. 72.44 +/- 22.54 min, p = 0.001) and was an independent predictor of complications (OR = 1.018, 95% CI: 1.006-1.031, p = 0.004). Conclusions: Perioperative antibiotic prophylaxis alone does not increase the risk of SSIs compared to extended prophylaxis in TOETVA. However, eABX may be prudent during the learning curve due to longer operative times and higher complication risks. Future prospective, randomized trials are needed to standardize prophylaxis regimens.","[('infections', 'DISEASE'), ('cefazolin', 'CHEMICAL'), ('amoxicillin/clavulanate', 'CHEMICAL'), ('cefazolin', 'CHEMICAL'), ('seroma', 'DISEASE'), ('cellulitis', 'DISEASE'), ('seroma', 'DISEASE'), ('cellulitis', 'DISEASE')]"
40427235,2025,"Antimicrobial resistance (AMR) in Escherichia coli poses a global public health threat, yet companion animals such as dogs remain underrepresented in surveillance efforts. This study investigated risk factors associated with E. coli resistance to amoxicillin-clavulanic acid, ceftazidime, and enrofloxacin in 263 healthy dogs from urban and rural veterinary clinics in Chile. Fecal samples were collected from dogs that had not received antibiotics in the preceding four weeks, and E. coli isolates growing on antimicrobial-impregnated selective agar were tested using VITEK2, following Clinical and Laboratory Standards Institute guidelines. A structured questionnaire captured demographic, clinical, and environmental data, and logistic regression was used to identify significant associations. Resistance rates were 13.3% for amoxicillin-clavulanic acid, 5.98% for ceftazidime, and 18.3% for enrofloxacin. Dogs purchased from pet stores had 6.04-fold higher odds of ceftazidime resistance compared to adopted dogs (95% CI: 1.88-21.32, p = 0.003). Prior hospitalization increased the risk of enrofloxacin resistance (OR = 4.24, p < 0.001), while cohabitation with healthcare workers reduced the risk of resistance to both enrofloxacin (OR = 0.17, p < 0.001) and amoxicillin-clavulanic acid (OR = 0.32, p = 0.008). Notably, occasional contact with free-roaming animals also exhibited a protective effect (OR = 0.32, p = 0.011). These results underscore the need for AMR surveillance in companion animals, improved antimicrobial stewardship, and the adoption of a One Health approach to effectively address AMR across species.","[('amoxicillin-clavulanic acid', 'CHEMICAL'), ('ceftazidime', 'CHEMICAL'), ('enrofloxacin', 'CHEMICAL'), ('amoxicillin-clavulanic acid', 'CHEMICAL'), ('ceftazidime', 'CHEMICAL'), ('enrofloxacin', 'CHEMICAL'), ('ceftazidime', 'CHEMICAL'), ('enrofloxacin', 'CHEMICAL'), ('enrofloxacin', 'CHEMICAL'), ('amoxicillin-clavulanic acid', 'CHEMICAL')]"
40426894,2025,"Background/Objectives: Urinary tract infections (UTIs) represent a significant public health challenge, with Escherichia coli being the primary causative pathogen. The rise in antimicrobial resistance (AMR), further intensified by shifts in antibiotic prescribing practices during and after the COVID-19 pandemic, poses substantial difficulties in treatment optimization and clinical management. Methods: This retrospective study analyzed 644 E. coli strains from urine samples collected in a southeastern Romanian hospital during two periods: pre-pandemic (2018-2019, N = 361) and post-pandemic (2023-2024, N = 283). Antimicrobial susceptibility was assessed using the VITEK automated system for key antibiotic classes. Results: A significant increase in fluoroquinolone resistance was observed, especially for ciprofloxacin (p = 0.02), alongside rising ceftriaxone resistance (p = 0.004), suggesting the spread of ESBL-producing strains. Resistance to trimethoprim/sulfamethoxazole, ampicillin, and amoxicillin/clavulanic acid remained high, limiting their empirical use. Carbapenem resistance was low (p > 0.1), while nitrofurantoin and fosfomycin retained high efficacy (p = 0.26 and p = 0.64). Conclusions: The post-pandemic period showed a concerning rise in resistance to fluoroquinolones and third-generation cephalosporins, highlighting the need for stricter antimicrobial stewardship. Carbapenems remain effective for severe infections, while nitrofurantoin and fosfomycin are reliable first-line options for uncomplicated UTIs. Continuous AMR surveillance is essential to optimize treatment and curb multidrug-resistant strains.","[('infections', 'DISEASE'), ('UTIs', 'DISEASE'), ('fluoroquinolone', 'CHEMICAL'), ('ciprofloxacin', 'CHEMICAL'), ('ceftriaxone', 'CHEMICAL'), ('trimethoprim/sulfamethoxazole', 'CHEMICAL'), ('ampicillin', 'CHEMICAL'), ('amoxicillin/clavulanic acid', 'CHEMICAL'), ('Carbapenem', 'CHEMICAL'), ('nitrofurantoin', 'CHEMICAL'), ('fosfomycin', 'CHEMICAL'), ('fluoroquinolones', 'CHEMICAL'), ('cephalosporins', 'CHEMICAL'), ('infections', 'DISEASE'), ('nitrofurantoin', 'CHEMICAL'), ('fosfomycin', 'CHEMICAL'), ('UTIs', 'DISEASE')]"
40426869,2025,"Background/Objectives: The development of pharmacotherapy, particularly in antiangiogenic drugs, has led to the emergence of MRONJ as a significant side effect. With the increasing incidence of cancer, the management of MRONJ poses a growing challenge for clinicians. The aim of the study is to evaluate the effectiveness of photobiomodulation (PBM) in treating patients with stage I, II, and III medication-related osteonecrosis of the jaw (MRONJ). Methods: A total of 31 patients were divided into two groups: Group 1 (n = 14 patients), with Stage 1 MRONJ; and Group 2 (n = 17 patients), with Stage II and III MRONJ. In total, 10 patients had osteoporosis and 21 underwent cancer treatment. The sole variable under investigation was the stage of MRONJ, as all patients underwent the same photobiomodulation (PBM) procedure. For treatment protocol, PBM with a diode laser was used (Lasotronix Smart M Pro, Piaseczno, Poland) with the following parameters: 100 mW; continuous wave; 635 nm; 4 J/cm(2) for 20 s; irradiance for one point: 0.398 W/cm(2); fluency for one point: 7.96 J/cm(2), and for four points, which was one appointment: 31.83 J/cm(2); and tip diameter 8 mm (three points from buccal surface, perpendicular for the lesion and one point on the floor of the mouth) during each session. The protocol assumed 10 sessions at 3 days intervals. Antibiotic therapy (amoxicillin with clavulanic acid 875 mg + 125 mg or clindamycin 600 mg every 12 h) was started 3 days before PBM and continued for 14 days. Antibiotics were taken for 14 days in total. Pain was measured with VAS scale. Follow-up was after 3 and 6 months. Results: Among the 14 patients in Group 1, none exhibited any clinical signs or symptoms of MRONJ during the 3 months follow-up, and complete cure was achieved. While PBM resolved inflammation and pain in stage II MRONJ, further surgical intervention was necessary to fully address the condition. Conclusions: PBM is an effective treatment for achieving complete recovery in patients with Stage 1 MRONJ. However, in Stages II and III MRONJ, PBM significantly alleviates symptoms but requires complementary surgical intervention to achieve full resolution. A beneficial aspect is the reduction in pain symptoms and the extent of surgical intervention.","[('cancer', 'DISEASE'), ('osteonecrosis', 'DISEASE'), ('Stage II', 'DISEASE'), ('osteoporosis', 'DISEASE'), ('cancer', 'DISEASE'), ('amoxicillin', 'CHEMICAL'), ('clindamycin', 'CHEMICAL'), ('Pain', 'DISEASE'), ('inflammation', 'DISEASE'), ('pain', 'DISEASE'), ('pain', 'DISEASE')]"
40426591,2025,"Background: Antimicrobial resistance (AMR) is a critical global health threat, affecting both human and veterinary medicine. Pigeons are increasingly recognized as potential reservoirs of antibiotic-resistant bacteria due to their widespread presence in urban and rural environments. The aim of this study was to determine the antimicrobial susceptibility profiles of Staphylococcus aureus isolates from pigeons in Hungary. Methods: A total of 73 S. aureus isolates were collected from pigeons across seven regions of Hungary in 2022. Minimum inhibitory concentrations (MICs) were determined using the broth microdilution method according to Clinical and Laboratory Standards Institute (CLSI) guidelines. Statistical analysis included correlation heatmaps, hierarchical clustering, network analysis, decision tree modeling, and Monte Carlo simulations. Results: The multidrug-resistant (MDR) prevalence rate was alarmingly high at 80.8%. Very high resistance rates were observed for doxycycline (97.3%), enrofloxacin (87.7%), and amoxicillin (84.9%). By contrast, low resistance rates were detected for vancomycin (5.5%) and imipenem (8.2%). Decision tree modeling identified tiamulin, enrofloxacin, and amoxicillin-clavulanate resistance as the most significant predictors of MDR status. Monte Carlo simulations predicted a mean MDR prevalence of 78.5%, indicating that the dominance of MDR strains is not merely a random phenomenon but part of a broader epidemiological pattern. Conclusions: These findings confirm that pigeons may serve as critical reservoirs of MDR S. aureus strains, posing a potential risk to public and animal health. Continued monitoring, the genetic characterization of resistant strains, and the development of effective control strategies are urgently needed. This study provides a foundation for future research aimed at understanding the biological, ecological, and epidemiological roles of pigeon-associated MDR strains.","[('doxycycline', 'CHEMICAL'), ('enrofloxacin', 'CHEMICAL'), ('amoxicillin', 'CHEMICAL'), ('vancomycin', 'CHEMICAL'), ('imipenem', 'CHEMICAL'), ('tiamulin', 'CHEMICAL'), ('enrofloxacin', 'CHEMICAL'), ('amoxicillin-clavulanate', 'CHEMICAL')]"
40426590,2025,"Objective: This systematic review and meta-analysis aims to evaluate the temporal changes in Helicobacter pylori antibiotic resistance in Russia based on studies published over the past 15 years. Materials and Methods: We conducted a comprehensive literature search in MEDLINE/PubMed, EMBASE, the Russian Science Citation Index, and Google Scholar, following the PRISMA 2020 guidelines. Our meta-analysis was pre-registered in PROSPERO (CRD 420251025636). The inclusion criteria included original research, published in English or Russian in 2011-2024, involving antibiotic susceptibility testing in treatment-naive Russian adults using validated diagnostic methods. Two independent researchers selected studies and extracted data using standardized procedures, with methodological quality assessed via the Newcastle-Ottawa Scale. Pooled resistance rates were calculated using fixed/random-effects models in MedCalc 23.1.5 and Python 3.9.21, with meta-regression investigating temporal trends and subgroup analyses examining regional and methodological variations. Results: We identified 16 studies comprising 1206 H. pylori isolates. The pooled analysis of studies (2011-2025) revealed an overall clarithromycin resistance rate of 15.236%, with a significant temporal increase from 11.903% pre-2015 to 21.024% in 2020-2024 (p = 0.0049). Metronidazole showed consistently high pooled resistance (33.309%), while amoxicillin (1.828%), levofloxacin (19.014%), tetracycline (1.328%), and rifampicin (5.803%) maintained low resistance rates, and dual clarithromycin-metronidazole resistance was observed in 2.793% of isolates. Regional disparities were notable in the two largest cities of Russia, with 18.763% clarithromycin resistance in Moscow versus 28.540% in Saint-Petersburg. Conclusions: Russia surpasses the Maastricht VI Consensus resistance threshold for clarithromycin (15%), necessitating revision of empirical treatment strategies. The significant increase in clarithromycin resistance, potentially exacerbated by antibiotic use during the COVID-19 pandemic, underscores the urgent need for resistance-guided therapies and ongoing national surveillance programs to optimize H. pylori management.","[('clarithromycin', 'CHEMICAL'), ('Metronidazole', 'CHEMICAL'), ('amoxicillin', 'CHEMICAL'), ('levofloxacin', 'CHEMICAL'), ('tetracycline', 'CHEMICAL'), ('rifampicin', 'CHEMICAL'), ('clarithromycin-metronidazole', 'CHEMICAL'), ('clarithromycin', 'CHEMICAL'), ('clarithromycin', 'CHEMICAL'), ('clarithromycin', 'CHEMICAL')]"
40426557,2025,"Background: Antimicrobial resistance (AMR) poses a growing threat to veterinary medicine and food safety. This study examines Escherichia coli antibiotic resistance patterns in ducks, focusing on multidrug-resistant (MDR) strains. Understanding resistance patterns and predicting MDR occurrence are critical for effective intervention strategies. Methods: E. coli isolates were collected from duck samples across multiple regions. Descriptive statistics and resistance frequency analyses were conducted. A decision tree classifier and a neural network were trained to predict MDR status. Cross-resistance relationships were visualized using graph-based models, and Monte Carlo simulations estimated MDR prevalence variations. Results: Monte Carlo simulations estimated an average MDR prevalence of 79.6% (95% CI: 73.1-86.1%). Key predictors in MDR classification models were enrofloxacin, neomycin, amoxicillin, and florfenicol. Strong cross-resistance associations were detected between neomycin and spectinomycin, as well as amoxicillin and doxycycline. Conclusions: The high prevalence of MDR strains underscores the urgent need to revise antibiotic usage guidelines in veterinary settings. The effectiveness of predictive models suggests that machine learning tools can aid in the early detection of MDR, contributing to the optimization of treatment strategies and the mitigation of resistance spread. The alarming MDR prevalence in E. coli isolates from ducks reinforces the importance of targeted surveillance and antimicrobial stewardship. Predictive models, including decision trees and neural networks, provide valuable insights into resistance trends, while Monte Carlo simulations further validate these findings, emphasizing the need for proactive antimicrobial management.","[('MDR', 'DISEASE'), ('MDR', 'DISEASE'), ('enrofloxacin', 'CHEMICAL'), ('neomycin', 'CHEMICAL'), ('amoxicillin', 'CHEMICAL'), ('florfenicol', 'CHEMICAL'), ('neomycin', 'CHEMICAL'), ('spectinomycin', 'CHEMICAL'), ('amoxicillin', 'CHEMICAL'), ('doxycycline', 'CHEMICAL'), ('MDR', 'DISEASE')]"
40426552,2025,"BACKGROUND: Mycobacterium abscessus (MABS) is an opportunistic pathogen that causes chronic, difficult-to-treat pulmonary infections, particularly in people with cystic fibrosis (PwCF), leading to rapid lung function decline and increased morbidity and mortality. Treatment is particularly challenging due to the pathogen's resistance mechanisms and the need for prolonged multidrug therapy, which is characterized by poor clinical outcomes and highlights the urgent need for novel therapeutic strategies. Imipenem/relebactam, a novel beta-lactam-beta-lactamase inhibitor combination, demonstrates in vitro activity against resistant MABS strains and effective pulmonary penetration. Prior research indicates synergistic activity of imipenem with various antibiotics against M. abscessus. OBJECTIVES: This study aims to evaluate the in vitro activity of imipenem/relebactam, alone and in combination with various antibiotics, against MABS clinical isolates from PwCF (n = 28). METHODS: Susceptibility and synergy were assessed using broth microdilution and checkerboard assays. Extracellular time-kill assays were performed to evaluate the bactericidal activity of synergistic three-drug combinations containing imipenem/relebactam. RESULTS: Imipenem/relebactam demonstrated potent in vitro activity against clinical MABS isolates, exhibiting substantial synergy with cefuroxime, cefdinir, amoxicillin, and cefoxitin. Rifabutin, azithromycin, moxifloxacin, clofazimine, and minocycline also demonstrated additive effects with imipenem/relebactam. Extracellular time-kill assays identified imipenem/relebactam + cefoxitin + rifabutin and imipenem/relebactam + cefoxitin + moxifloxacin as the most effective combinations. CONCLUSIONS: These findings suggest that imipenem/relebactam may offer a significant advancement in the management of MABS infections in PwCF. The promising efficacy of multidrug regimens combining imipenem/relebactam with agents like cefoxitin, azithromycin, moxifloxacin, clofazimine, and rifabutin highlights potential therapeutic strategies.","[('Mycobacterium abscessus', 'DISEASE'), ('pulmonary infections', 'DISEASE'), ('fibrosis', 'DISEASE'), ('imipenem', 'CHEMICAL'), ('cefuroxime', 'CHEMICAL'), ('cefdinir', 'CHEMICAL'), ('amoxicillin', 'CHEMICAL'), ('cefoxitin', 'CHEMICAL'), ('Rifabutin', 'CHEMICAL'), ('azithromycin', 'CHEMICAL'), ('moxifloxacin', 'CHEMICAL'), ('clofazimine', 'CHEMICAL'), ('minocycline', 'CHEMICAL'), ('cefoxitin', 'CHEMICAL'), ('rifabutin', 'CHEMICAL'), ('cefoxitin', 'CHEMICAL'), ('moxifloxacin', 'CHEMICAL'), ('infections', 'DISEASE'), ('cefoxitin', 'CHEMICAL'), ('azithromycin', 'CHEMICAL'), ('moxifloxacin', 'CHEMICAL'), ('clofazimine', 'CHEMICAL'), ('rifabutin', 'CHEMICAL')]"
40426544,2025,"Background:Riemerella anatipestifer and Erysipelothrix rhusiopathiae remain clinically significant pathogens in the waterfowl industry, causing substantial economic losses and posing potential zoonotic risks. Antimicrobial resistance (AMR) continues to spread in the poultry sector, making regular surveillance of bacterial isolates essential. Methods: In this study, eight R. anatipestifer and eighteen E. rhusiopathiae strains were isolated from clinical cases in Hungarian waterfowl between 2022 and 2023. Minimum inhibitory concentration (MIC) values were determined for antibiotics of veterinary and public health significance. Results: For R. anatipestifer, high resistance rates were observed for spectinomycin, lincomycin, and tiamulin, while beta-lactam antibiotics (amoxicillin, ceftriaxone, and imipenem) demonstrated strong efficacy. Among the E. rhusiopathiae isolates, resistance to amoxicillin (89%) and enrofloxacin (61%) was notable, whereas ceftriaxone and doxycycline exhibited moderate antibacterial effects. Conclusions: Our findings underscore the importance of targeted antimicrobial use in the waterfowl industry. Beta-lactam antibiotics remain effective, whereas rising resistance to fluoroquinolones and aminoglycosides raise serious concerns. Routine AMR surveillance and the adoption of alternative strategies are crucial for controlling infections and maintaining flock health.","[('spectinomycin', 'CHEMICAL'), ('lincomycin', 'CHEMICAL'), ('tiamulin', 'CHEMICAL'), ('beta-lactam', 'CHEMICAL'), ('amoxicillin', 'CHEMICAL'), ('ceftriaxone', 'CHEMICAL'), ('imipenem', 'CHEMICAL'), ('amoxicillin', 'CHEMICAL'), ('enrofloxacin', 'CHEMICAL'), ('ceftriaxone', 'CHEMICAL'), ('doxycycline', 'CHEMICAL'), ('Beta-lactam', 'CHEMICAL'), ('fluoroquinolones', 'CHEMICAL'), ('aminoglycosides', 'CHEMICAL'), ('infections', 'DISEASE')]"
40426542,2025,"Background and Aims: Amoxicillin is one of the most effective antibiotics for treating Helicobacter pylori infections and is widely used in first-line treatment regimens. However, patients with penicillin allergies cannot receive penicillin-based therapies, which significantly limits effective eradication options. This allergy often compels clinicians to choose alternative regimens that may be less effective, thereby increasing the risk of treatment failure. Consequently, therapeutic options for these patients are more restricted, and clinicians must carefully select the most appropriate regimen, taking into account both efficacy and the potential for antimicrobial resistance. This review aims to systematically evaluate the efficacy of penicillin-free treatment regimens for the eradication of H. pylori in patients with penicillin allergies. Specifically, it seeks to identify, analyze, and synthesize current clinical evidence to determine the most effective alternative therapies, thereby supporting evidence-based clinical decision-making. Methods: A literature search was conducted using the PubMed and Scopus databases. We began by reviewing the titles and abstracts of all identified studies to determine eligibility. Next, we assessed the full text of potentially eligible articles according to inclusion and exclusion criteria to establish the eligibility of each study. Results: This review included 26 studies comprising 2713 participants, evaluating penicillin-free therapies for H. pylori eradication in penicillin-allergic patients. Key findings demonstrated high eradication rates with bismuth-based quadruple therapies (88-97%), doxycycline-based regimens (86%), and quinolone-based therapies (75-100%), with Sitafloxacin exceeding 90% efficacy. Minocycline-based regimens also showed promising outcomes, with eradication rates between 80% and 85%. Although the PPI-clarithromycin-metronidazole combination was moderately effective, it was less favored as a first-line option. Overall, bismuth-based and quinolone-based therapies emerged as the most effective alternatives. Conclusions: In patients allergic to penicillin, bismuth quadruple therapy has demonstrated an excellent rate of eradication. Quinolone-based regimens are emerging as a promising alternative in first-line treatment or in cases of treatment failure. Vonoprazan-based therapy is an effective regimen. Combined with clarithromycin and metronidazole, vonoprazan enhances eradication rates and demonstrates effectiveness, including in clarithromycin-resistant strains.","[('Amoxicillin', 'CHEMICAL'), ('Helicobacter pylori infections', 'DISEASE'), ('penicillin allergies', 'DISEASE'), ('allergy', 'DISEASE'), ('pylori', 'DISEASE'), ('penicillin allergies', 'DISEASE'), ('pylori', 'DISEASE'), ('penicillin-allergic', 'CHEMICAL'), ('bismuth-based', 'CHEMICAL'), ('quadruple', 'CHEMICAL'), ('doxycycline-based', 'CHEMICAL'), ('Sitafloxacin', 'CHEMICAL'), ('PPI-clarithromycin-metronidazole', 'CHEMICAL'), ('bismuth-based', 'CHEMICAL'), ('allergic', 'DISEASE'), ('penicillin', 'CHEMICAL'), ('bismuth', 'CHEMICAL'), ('clarithromycin', 'CHEMICAL'), ('metronidazole', 'CHEMICAL')]"
