CHEMICAL,DISEASE,relación,oración
amoxicillin,MDEs,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."
amoxicillin,erythemas,efecto_adverso,"RESULTS: We evaluated 872 patients: 583 reported MDEs, 193 urticarial/angioedematous reactions, 73 erythemas, and 23 other reactions; 647 patients underwent PTs and/or IDTs with benzylpenicillin reagents, amoxicillin, and suspected penicillins, while 225 only with the last and amoxicillin."
spiramycin,periodontitis,otro,"Selenomonas noxia was susceptible in vitro to several antibiotics of potential therapeutic use in periodontitis therapy, with the exception of spiramycin."
ciprofloxacin,Bacillus subtilis,otro,"RESULTS: Compounds MA-03 and MA-12 showed potent antibacterial activity with MIC values of 1.56, 3.125, 1.56, and 6.25 mug/ml and 1.56, 3.12, 6.25, and 3.12 mug/ml, respectively, against Bacillus subtilis, Staphylococcus aureus, Pseudomonas putida, and Escherichia coli using controls ciprofloxacin and amoxicillin (0.78, 0.39, 1.56 and 0.39 mug/ml and 0.78, 3.125, 3.125, and 1.56 mug/ml)."
ciprofloxacin,mug/ml,otro,"RESULTS: Compounds MA-03 and MA-12 showed potent antibacterial activity with MIC values of 1.56, 3.125, 1.56, and 6.25 mug/ml and 1.56, 3.12, 6.25, and 3.12 mug/ml, respectively, against Bacillus subtilis, Staphylococcus aureus, Pseudomonas putida, and Escherichia coli using controls ciprofloxacin and amoxicillin (0.78, 0.39, 1.56 and 0.39 mug/ml and 0.78, 3.125, 3.125, and 1.56 mug/ml)."
amoxicillin,Bacillus subtilis,otro,"RESULTS: Compounds MA-03 and MA-12 showed potent antibacterial activity with MIC values of 1.56, 3.125, 1.56, and 6.25 mug/ml and 1.56, 3.12, 6.25, and 3.12 mug/ml, respectively, against Bacillus subtilis, Staphylococcus aureus, Pseudomonas putida, and Escherichia coli using controls ciprofloxacin and amoxicillin (0.78, 0.39, 1.56 and 0.39 mug/ml and 0.78, 3.125, 3.125, and 1.56 mug/ml)."
amoxicillin,mug/ml,otro,"RESULTS: Compounds MA-03 and MA-12 showed potent antibacterial activity with MIC values of 1.56, 3.125, 1.56, and 6.25 mug/ml and 1.56, 3.12, 6.25, and 3.12 mug/ml, respectively, against Bacillus subtilis, Staphylococcus aureus, Pseudomonas putida, and Escherichia coli using controls ciprofloxacin and amoxicillin (0.78, 0.39, 1.56 and 0.39 mug/ml and 0.78, 3.125, 3.125, and 1.56 mug/ml)."
Sulfamethoxazole-trimethoprim,bacterial infections,otro,"AIMS: Sulfamethoxazole-trimethoprim (SMX-TMP) is a widely used antibiotic for treating bacterial infections, but its safety in adult outpatients remains understudied."
SMX-TMP,bacterial infections,otro,"AIMS: Sulfamethoxazole-trimethoprim (SMX-TMP) is a widely used antibiotic for treating bacterial infections, but its safety in adult outpatients remains understudied."
SMX-TMP,rash,efecto_adverso,"RESULTS: Our review, which included 43 studies, found SMX-TMP had a nearly 3-fold higher risk of rash compared to other antibiotics (pooled risk ratio 2.56, 95% confidence interval [1.69, 3.89], I(2) = 0%, n = 4458 participants, 24 randomized control trials)."
azithromycin,Stevens-Johnson syndrome,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms."
azithromycin,necrolysis,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms."
azithromycin,eosinophilia,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms."
SMX-TMP,Stevens-Johnson syndrome,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms."
SMX-TMP,necrolysis,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms."
SMX-TMP,eosinophilia,causa,"Compared to azithromycin, SMX-TMP was associated with a 5-fold increase in Stevens-Johnson syndrome, a 3-fold increase in toxic epidermal necrolysis, and a 10-fold increase in drug reaction with eosinophilia and systemic symptoms."
SMX-TMP,pancytopenia,otro,"Additionally, SMX-TMP showed a 10-fold increase in reports of pancytopenia, a 6-fold increase in neutropenia, a 4-fold increase in both thrombocytopenia and aplastic anaemia, a 56-fold increase in hyperkalaemia, and a 10-fold increase in hyponatraemia."
SMX-TMP,neutropenia,otro,"Additionally, SMX-TMP showed a 10-fold increase in reports of pancytopenia, a 6-fold increase in neutropenia, a 4-fold increase in both thrombocytopenia and aplastic anaemia, a 56-fold increase in hyperkalaemia, and a 10-fold increase in hyponatraemia."
SMX-TMP,thrombocytopenia,otro,"Additionally, SMX-TMP showed a 10-fold increase in reports of pancytopenia, a 6-fold increase in neutropenia, a 4-fold increase in both thrombocytopenia and aplastic anaemia, a 56-fold increase in hyperkalaemia, and a 10-fold increase in hyponatraemia."
SMX-TMP,aplastic anaemia,otro,"Additionally, SMX-TMP showed a 10-fold increase in reports of pancytopenia, a 6-fold increase in neutropenia, a 4-fold increase in both thrombocytopenia and aplastic anaemia, a 56-fold increase in hyperkalaemia, and a 10-fold increase in hyponatraemia."
SMX-TMP,hyperkalaemia,otro,"Additionally, SMX-TMP showed a 10-fold increase in reports of pancytopenia, a 6-fold increase in neutropenia, a 4-fold increase in both thrombocytopenia and aplastic anaemia, a 56-fold increase in hyperkalaemia, and a 10-fold increase in hyponatraemia."
SMX-TMP,hyponatraemia,otro,"Additionally, SMX-TMP showed a 10-fold increase in reports of pancytopenia, a 6-fold increase in neutropenia, a 4-fold increase in both thrombocytopenia and aplastic anaemia, a 56-fold increase in hyperkalaemia, and a 10-fold increase in hyponatraemia."
SMX-TMP,ADEs,causa,"CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin."
amoxicillin/clavulanate,ADEs,causa,"CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin."
azithromycin,ADEs,causa,"CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin."
nitrofurantoin,ADEs,causa,"CONCLUSION: Our meta-analyses and pharmacovigilance study suggested SMX-TMP was associated with increased risk of ADEs compared to other antibiotics including amoxicillin/clavulanate, azithromycin and nitrofurantoin."
tigecycline,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
tigecycline,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
polymyxin B,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
polymyxin B,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
ceftazidime-avibactam,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
ceftazidime-avibactam,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
fosfomycin,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
fosfomycin,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
amikacin,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
amikacin,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
chloramphenicol,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
chloramphenicol,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
SHV-11,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
